iter	Passed	Remaining
0	0	42
1	0	33
2	0	30
3	1	26
4	1	25
5	1	25
6	1	24
7	2	32
8	3	30
9	3	29
10	3	28
11	3	27
12	4	26
13	4	26
14	4	25
15	4	24
16	4	24
17	5	23
18	5	23
19	5	22
20	5	22
21	6	22
22	6	22
23	6	21
24	7	21
25	7	21
26	7	20
27	7	20
28	8	20
29	8	19
30	8	19
31	9	19
32	9	18
33	9	18
34	9	18
35	10	18
36	10	17
37	10	17
38	11	17
39	11	17
40	11	16
41	11	16
42	12	15
43	12	15
44	12	15
45	12	14
46	13	14
47	13	14
48	13	14
49	13	13
50	14	13
51	14	13
52	14	13
53	14	12
54	15	12
55	15	12
56	15	11
57	15	11
58	16	11
59	16	11
60	16	10
61	17	10
62	17	10
63	17	9
64	17	9
65	18	9
66	18	9
67	18	8
68	19	8
69	19	8
70	19	8
71	19	7
72	20	7
73	20	7
74	20	6
75	21	6
76	21	6
77	21	6
78	21	5
79	22	5
80	22	5
81	22	4
82	23	4
83	23	4
84	23	4
85	23	3
86	24	3
87	24	3
88	24	3
89	24	2
90	25	2
91	25	2
92	25	1
93	26	1
94	26	1
95	26	1
96	27	0
97	27	0
98	27	0
99	27	0
